Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-12-01 12:00:00,86146.59000000,86231.52000000,86116.00000000,86156.17000000,64.48333000,1764590579999,5555658.55420690,12444,27.79262000,2394428.12604470,0
2025-12-01 12:03:00,86156.18000000,86207.97000000,86040.00000000,86042.01000000,73.57939000,1764590759999,6336984.24772900,13750,27.85599000,2399169.73885760,0
2025-12-01 12:06:00,86042.01000000,86062.55000000,85940.02000000,86023.75000000,80.92765000,1764590939999,6959896.71869050,15574,25.67546000,2208113.25361080,0
2025-12-01 12:09:00,86023.76000000,86064.00000000,85914.95000000,85914.97000000,54.41390000,1764591119999,4680528.03538410,13283,19.66604000,1691525.53181570,0
2025-12-01 12:12:00,85914.97000000,85914.97000000,85811.00000000,85883.19000000,77.55149000,1764591299999,6658988.47599680,13906,26.64824000,2288092.28064190,0
2025-12-01 12:15:00,85883.18000000,85965.52000000,85883.17000000,85895.98000000,45.54796000,1764591479999,3913276.45756960,11710,19.59928000,1683714.45094530,0
2025-12-01 12:18:00,85895.98000000,85905.24000000,85836.54000000,85868.03000000,36.25496000,1764591659999,3113432.00759390,8987,10.43713000,896320.93263600,0
2025-12-01 12:21:00,85868.02000000,86052.00000000,85868.02000000,86006.87000000,61.59044000,1764591839999,5295692.08434890,11726,35.24574000,3030341.74305560,0
2025-12-01 12:24:00,86006.86000000,86006.87000000,85924.33000000,85924.34000000,37.97775000,1764592019999,3265332.25327910,8534,18.05134000,1552082.64573740,0
2025-12-01 12:27:00,85924.34000000,85928.87000000,85800.00000000,85835.30000000,78.97678000,1764592199999,6778418.24863680,8659,21.79244000,1870309.13473360,0
2025-12-01 12:30:00,85835.30000000,85854.42000000,85750.00000000,85791.01000000,63.35261000,1764592379999,5435033.79945160,10937,30.93625000,2653901.10870480,0
2025-12-01 12:33:00,85791.01000000,85791.01000000,85678.37000000,85783.44000000,60.69146000,1764592559999,5202988.15649150,10270,18.36475000,1574568.10186630,0
2025-12-01 12:36:00,85783.99000000,85877.99000000,85762.66000000,85814.11000000,40.80582000,1764592739999,3502163.41656220,11886,17.42573000,1495300.45348120,0
2025-12-01 12:39:00,85814.11000000,85814.11000000,85587.39000000,85636.76000000,55.73287000,1764592919999,4773815.03577350,17047,22.18809000,1900241.13668040,0
2025-12-01 12:42:00,85636.75000000,85666.62000000,85400.00000000,85484.00000000,210.37071000,1764593099999,17980680.58069690,24940,96.98932000,8288332.01903190,0
2025-12-01 12:45:00,85483.99000000,85514.00000000,85268.00000000,85318.71000000,144.10760000,1764593279999,12304439.43614770,22882,37.83241000,3230422.09281740,0
2025-12-01 12:48:00,85318.71000000,85340.36000000,84756.00000000,85157.45000000,522.93639000,1764593459999,44454719.79050270,56661,200.25408000,17016678.05030460,0
2025-12-01 12:51:00,85157.45000000,85448.81000000,85157.44000000,85406.01000000,196.77825000,1764593639999,16797986.45111460,39137,111.22074000,9493312.69382220,0
2025-12-01 12:54:00,85406.01000000,85492.30000000,85244.68000000,85259.98000000,84.42877000,1764593819999,7207215.76086940,27385,39.74907000,3393465.04794330,0
2025-12-01 12:57:00,85259.98000000,85537.70000000,85258.26000000,85430.64000000,107.67956000,1764593999999,9203296.50290540,16337,62.90863000,5376497.22984500,0
2025-12-01 13:00:00,85430.64000000,85942.83000000,85350.00000000,85895.73000000,142.48537000,1764594179999,12204674.71040970,34753,96.71151000,8284297.99764610,0
2025-12-01 13:03:00,85895.74000000,86166.43000000,85831.81000000,85832.31000000,177.94487000,1764594359999,15306516.97578750,33334,123.44956000,10619214.80580600,0
2025-12-01 13:06:00,85832.31000000,86075.41000000,85766.95000000,86030.00000000,78.37443000,1764594539999,6733679.75430500,24901,54.14173000,4652138.65873590,0
2025-12-01 13:09:00,86030.00000000,86108.93000000,85906.00000000,85911.37000000,70.43835000,1764594719999,6057955.16723930,19216,32.66612000,2809538.16363750,0
2025-12-01 13:12:00,85911.37000000,86084.00000000,85911.37000000,86084.00000000,33.23861000,1764594899999,2858181.91798750,15961,18.34481000,1577655.52399200,0
2025-12-01 13:15:00,86084.00000000,86148.20000000,85954.03000000,86059.73000000,62.83788000,1764595079999,5408514.96473950,19482,29.75667000,2561293.37491970,0
2025-12-01 13:18:00,86059.73000000,86074.84000000,85931.22000000,86058.93000000,45.47105000,1764595259999,3910527.99483940,12918,17.27110000,1485270.89833120,0
2025-12-01 13:21:00,86058.94000000,86073.22000000,85931.34000000,86044.81000000,25.25333000,1764595439999,2171650.59269000,12806,12.93000000,1111953.74427910,0
2025-12-01 13:24:00,86044.82000000,86044.82000000,85931.07000000,86036.40000000,28.50773000,1764595619999,2450737.14679370,11410,11.66074000,1002533.82826600,0
2025-12-01 13:27:00,86038.00000000,86050.00000000,85964.00000000,85994.00000000,16.81469000,1764595799999,1446089.15711570,8283,4.60847000,396316.35814380,0
2025-12-01 13:30:00,85993.71000000,86017.93000000,85784.03000000,85794.36000000,52.57461000,1764595979999,4514296.29595100,16947,19.81547000,1701370.48110790,0
2025-12-01 13:33:00,85794.36000000,85911.71000000,85750.00000000,85835.99000000,70.44366000,1764596159999,6044868.69287960,19510,42.25856000,3626377.24126770,0
2025-12-01 13:36:00,85835.99000000,85931.20000000,85825.75000000,85825.75000000,31.64800000,1764596339999,2717742.16616960,15801,20.01373000,1718522.62143480,0
2025-12-01 13:39:00,85825.75000000,85826.29000000,85671.76000000,85811.48000000,34.99936000,1764596519999,3001530.03981350,17755,14.95955000,1282804.55050270,0
2025-12-01 13:42:00,85811.48000000,85876.88000000,85735.47000000,85790.44000000,25.26729000,1764596699999,2168182.45952810,12298,10.87311000,932860.80708350,0
2025-12-01 13:45:00,85790.45000000,85825.60000000,85749.08000000,85803.88000000,34.83094000,1764596879999,2988378.96663980,14341,13.31230000,1142026.43208080,0
2025-12-01 13:48:00,85803.87000000,85813.60000000,85740.01000000,85805.22000000,26.16279000,1764597059999,2244126.81940250,12310,14.28397000,1225186.38634000,0
2025-12-01 13:51:00,85805.21000000,86109.45000000,85756.36000000,86109.45000000,65.59684000,1764597239999,5639787.42054750,20550,45.54315000,3915542.11323140,0
2025-12-01 13:54:00,86109.46000000,86111.17000000,85890.19000000,85942.24000000,38.67058000,1764597419999,3325526.43846760,15640,13.03755000,1121077.69714390,0
2025-12-01 13:57:00,85942.24000000,86039.46000000,85939.93000000,85986.85000000,35.89516000,1764597599999,3086971.53365150,9895,18.42358000,1584352.02276410,0
2025-12-01 14:00:00,85986.85000000,86065.74000000,85966.03000000,86056.57000000,32.48138000,1764597779999,2794168.49175000,15974,21.26083000,1828937.13647460,0
2025-12-01 14:03:00,86056.57000000,86315.58000000,86044.00000000,86053.97000000,99.93827000,1764597959999,8612549.20804090,23816,71.32192000,6146230.81897130,0
2025-12-01 14:06:00,86053.97000000,86147.24000000,86007.33000000,86077.45000000,44.46144000,1764598139999,3827138.03787570,17375,33.48284000,2882171.42759050,0
2025-12-01 14:09:00,86077.44000000,86267.00000000,86077.44000000,86187.25000000,114.51251000,1764598319999,9872590.35969040,21501,48.03969000,4141400.37297290,0
2025-12-01 14:12:00,86187.25000000,86333.28000000,86187.24000000,86237.47000000,55.83842000,1764598499999,4817669.34186030,15803,34.36245000,2964520.18101680,0
2025-12-01 14:15:00,86237.47000000,86255.59000000,85961.29000000,85961.30000000,72.17478000,1764598679999,6213498.07038340,17269,15.39933000,1325884.75486290,0
2025-12-01 14:18:00,85961.30000000,86136.46000000,85961.29000000,86081.42000000,26.75381000,1764598859999,2302605.91396660,10270,15.81982000,1361295.63445020,0
2025-12-01 14:21:00,86081.42000000,86176.64000000,86058.38000000,86084.27000000,23.45449000,1764599039999,2019698.89104120,10631,11.89280000,1023995.47605840,0
2025-12-01 14:24:00,86084.27000000,86176.37000000,86041.06000000,86176.37000000,31.12327000,1764599219999,2679852.63008990,9877,22.55578000,1942187.57984230,0
2025-12-01 14:27:00,86176.36000000,86278.61000000,86153.50000000,86244.01000000,26.66820000,1764599399999,2299671.63701630,8743,16.16147000,1393566.54036950,0
2025-12-01 14:30:00,86244.01000000,86325.90000000,85903.93000000,86128.00000000,216.61356000,1764599579999,18651867.98042710,43896,97.63909000,8407882.99021170,0
2025-12-01 14:33:00,86128.00000000,86498.37000000,86068.36000000,86426.06000000,178.93401000,1764599759999,15450470.75757350,41958,132.01543000,11399761.28675180,0
2025-12-01 14:36:00,86426.06000000,86674.00000000,86418.48000000,86431.97000000,184.65257000,1764599939999,15984485.19810890,39412,106.85581000,9249492.70427540,0
2025-12-01 14:39:00,86431.97000000,86479.99000000,86116.08000000,86203.29000000,111.15408000,1764600119999,9587254.70100320,30940,31.99015000,2762166.53571500,0
